,Name of Mobile,Mobile Price,Mobile Ratings,Mobile Images,Mobile Links
10,"realme C31 (Light Silver, 32 GB)","9,299",4.6,https://rukminim1.flixcart.com/image/312/312/l1dwknk0/mobile/f/t/x/-original-imagcyj4unsxhadw.jpeg?q=70,https://www.flipkart.com/realme-c31-light-silver-32-gb/p/itme0f2960da9bbb?pid=MOBGCGVA3DANQNQH&lid=LSTMOBGCGVA3DANQNQHPKNMV9&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_11&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=c17c67b6-a42e-4fca-b4be-40c68ffaef1b.MOBGCGVA3DANQNQH.SEARCH&ppt=None&ppn=None&ssid=5qvd37muww0000001658337942325
11,"realme C31 (Dark Green, 32 GB)","9,299",4.6,https://rukminim1.flixcart.com/image/312/312/l1dwknk0/mobile/p/r/0/-original-imagcyj2prahc4pk.jpeg?q=70,https://www.flipkart.com/realme-c31-dark-green-32-gb/p/itme0f2960da9bbb?pid=MOBGCGVAXYT3EGYR&lid=LSTMOBGCGVAXYT3EGYRW8CSTQ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_12&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=c17c67b6-a42e-4fca-b4be-40c68ffaef1b.MOBGCGVAXYT3EGYR.SEARCH&ppt=None&ppn=None&ssid=5qvd37muww0000001658337942325
12,"realme 9 5G (Meteor Black, 64 GB)","16,049",4.5,https://rukminim1.flixcart.com/image/312/312/l0jwbrk0/mobile/e/f/b/-original-imagcb64e6mywt9j.jpeg?q=70,https://www.flipkart.com/realme-9-5g-meteor-black-64-gb/p/itm4f3814d50ff53?pid=MOBGC2Q5TGTGRBHR&lid=LSTMOBGC2Q5TGTGRBHRNIVGPU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_13&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=c17c67b6-a42e-4fca-b4be-40c68ffaef1b.MOBGC2Q5TGTGRBHR.SEARCH&ppt=None&ppn=None&ssid=5qvd37muww0000001658337942325
13,"realme 9 5G (Supersonic Black, 128 GB)","17,499",4.4,https://rukminim1.flixcart.com/image/312/312/l4fxh8w0/mobile/l/l/4/-original-imagfc56zazhvbfq.jpeg?q=70,https://www.flipkart.com/realme-9-5g-supersonic-black-128-gb/p/itm4f3814d50ff53?pid=MOBGDGZYGBZW6GGK&lid=LSTMOBGDGZYGBZW6GGKPL3YPS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_14&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=c17c67b6-a42e-4fca-b4be-40c68ffaef1b.MOBGDGZYGBZW6GGK.SEARCH&ppt=None&ppn=None&ssid=5qvd37muww0000001658337942325
14,"realme 9 5G (Supersonic Blue, 64 GB)","15,999",4.5,https://rukminim1.flixcart.com/image/312/312/l4fxh8w0/mobile/o/q/j/-original-imagfc55exgt8eey.jpeg?q=70,https://www.flipkart.com/realme-9-5g-supersonic-blue-64-gb/p/itm4f3814d50ff53?pid=MOBGDGZFXYZ4NFYM&lid=LSTMOBGDGZFXYZ4NFYMHOVCPY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_15&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=c17c67b6-a42e-4fca-b4be-40c68ffaef1b.MOBGDGZFXYZ4NFYM.SEARCH&ppt=None&ppn=None&ssid=5qvd37muww0000001658337942325
15,"realme 9 5G (Stargaze White, 128 GB)","17,549",4.4,https://rukminim1.flixcart.com/image/312/312/l0jwbrk0/mobile/a/p/r/-original-imagcb64gwkhzdk5.jpeg?q=70,https://www.flipkart.com/realme-9-5g-stargaze-white-128-gb/p/itm4f3814d50ff53?pid=MOBGC2Q5JHRNRFKY&lid=LSTMOBGC2Q5JHRNRFKYWQMNHT&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_16&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=c17c67b6-a42e-4fca-b4be-40c68ffaef1b.MOBGC2Q5JHRNRFKY.SEARCH&ppt=None&ppn=None&ssid=5qvd37muww0000001658337942325
16,"realme C31 (Dark Green, 64 GB)","9,999",4.4,https://rukminim1.flixcart.com/image/312/312/l1dwknk0/mobile/p/r/0/-original-imagcyj2prahc4pk.jpeg?q=70,https://www.flipkart.com/realme-c31-dark-green-64-gb/p/itme0f2960da9bbb?pid=MOBGCGVAZXRCZJNE&lid=LSTMOBGCGVAZXRCZJNEAEVV0M&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_17&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=c17c67b6-a42e-4fca-b4be-40c68ffaef1b.MOBGCGVAZXRCZJNE.SEARCH&ppt=None&ppn=None&ssid=5qvd37muww0000001658337942325
17,"realme 9 5G (Stargaze White, 64 GB)","16,049",4.5,https://rukminim1.flixcart.com/image/312/312/l0jwbrk0/mobile/a/p/r/-original-imagcb64gwkhzdk5.jpeg?q=70,https://www.flipkart.com/realme-9-5g-stargaze-white-64-gb/p/itm4f3814d50ff53?pid=MOBGC2Q5HG5RJZGW&lid=LSTMOBGC2Q5HG5RJZGWWUP6TT&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_18&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=c17c67b6-a42e-4fca-b4be-40c68ffaef1b.MOBGC2Q5HG5RJZGW.SEARCH&ppt=None&ppn=None&ssid=5qvd37muww0000001658337942325
18,"realme 9 5G (Meteor Black, 128 GB)","17,549",4.4,https://rukminim1.flixcart.com/image/312/312/l0jwbrk0/mobile/e/f/b/-original-imagcb64e6mywt9j.jpeg?q=70,https://www.flipkart.com/realme-9-5g-meteor-black-128-gb/p/itm4f3814d50ff53?pid=MOBGC2Q58FGNXWSN&lid=LSTMOBGC2Q58FGNXWSNJ3ERYV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_19&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=c17c67b6-a42e-4fca-b4be-40c68ffaef1b.MOBGC2Q58FGNXWSN.SEARCH&ppt=None&ppn=None&ssid=5qvd37muww0000001658337942325
19,"realme 9 5G (Supersonic Black, 64 GB)","15,999",4.5,https://rukminim1.flixcart.com/image/312/312/l4fxh8w0/mobile/l/l/4/-original-imagfc56zazhvbfq.jpeg?q=70,https://www.flipkart.com/realme-9-5g-supersonic-black-64-gb/p/itm4f3814d50ff53?pid=MOBGDGZFCJH6R3HQ&lid=LSTMOBGDGZFCJH6R3HQTRTE64&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_20&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=c17c67b6-a42e-4fca-b4be-40c68ffaef1b.MOBGDGZFCJH6R3HQ.SEARCH&ppt=None&ppn=None&ssid=5qvd37muww0000001658337942325
20,"realme 9 5G (Supersonic Blue, 128 GB)","17,499",4.4,https://rukminim1.flixcart.com/image/312/312/l4fxh8w0/mobile/o/q/j/-original-imagfc55exgt8eey.jpeg?q=70,https://www.flipkart.com/realme-9-5g-supersonic-blue-128-gb/p/itm4f3814d50ff53?pid=MOBGDGZYHRYYFYYG&lid=LSTMOBGDGZYHRYYFYYGFZEJVM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_21&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=c17c67b6-a42e-4fca-b4be-40c68ffaef1b.MOBGDGZYHRYYFYYG.SEARCH&ppt=None&ppn=None&ssid=5qvd37muww0000001658337942325
21,"realme C11 2021 (Cool Blue, 32 GB)","7,499",4.4,https://rukminim1.flixcart.com/image/312/312/kqjtd3k0/mobile/o/4/x/c11-2021-rmx3231-realme-original-imag4j4yrdt7d9cj.jpeg?q=70,https://www.flipkart.com/realme-c11-2021-cool-blue-32-gb/p/itmbd856acb97c38?pid=MOBG4BEG3HG78BDG&lid=LSTMOBG4BEG3HG78BDGOBNGF8&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_22&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=c17c67b6-a42e-4fca-b4be-40c68ffaef1b.MOBG4BEG3HG78BDG.SEARCH&ppt=None&ppn=None&ssid=5qvd37muww0000001658337942325
22,"realme C11 2021 (Cool Grey, 32 GB)","7,499",4.4,https://rukminim1.flixcart.com/image/312/312/kqjtd3k0/mobile/s/b/8/c11-2021-rmx3231-realme-original-imag4j4xkqchhfxk.jpeg?q=70,https://www.flipkart.com/realme-c11-2021-cool-grey-32-gb/p/itmbd856acb97c38?pid=MOBG4BEGX8QYNKGZ&lid=LSTMOBG4BEGX8QYNKGZ8JGQTA&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_23&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=c17c67b6-a42e-4fca-b4be-40c68ffaef1b.MOBG4BEGX8QYNKGZ.SEARCH&ppt=None&ppn=None&ssid=5qvd37muww0000001658337942325
23,"realme C35 (Glowing Green, 64 GB)","11,999",4.4,https://rukminim1.flixcart.com/image/312/312/l0fm07k0/mobile/y/g/i/-original-imagc7ryyhrrcgxh.jpeg?q=70,https://www.flipkart.com/realme-c35-glowing-green-64-gb/p/itmafb045222b2cf?pid=MOBGBTHFSKHF8RAU&lid=LSTMOBGBTHFSKHF8RAUQONXWY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_24&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=c17c67b6-a42e-4fca-b4be-40c68ffaef1b.MOBGBTHFSKHF8RAU.SEARCH&ppt=None&ppn=None&ssid=5qvd37muww0000001658337942325
